$>n	a matter
w>w*wA	and were harmed
w>wHY	And inspired
w>wHynA	and We revealed
w>wSnY	and has enjoined (on) me
w>wbArhA	and their fur
w>wfwA	And fulfil
w>wjs	and felt apprehension
w>wlY	and those
w>wldA	and children
w>wldhm	and their children
w>wldkm	and your children
w>wlt	And those who (are)
w>wlwA	But those
w>wrvkm	And He caused you to inherit
w>wrvnA	And We made inheritors
w>wrvnhA	And We caused to inherit them
w>wtynA	And we were given
w>wtyt	and she has been given
w>x*	and seized
w>x*hm	And for their taking
w>x*n	and they have taken
w>x*nA	And We took
w>x*nhm	and We seized them
w>x*t	And seized
w>x*tm	and take
w>x*wA	and they will be seized
w>xAf	and I fear
w>xAh	and his brother
w>xY	and my brother
w>xbtwA	and humble themselves
w>xfY	and the more hidden
w>xlSwA	and are sincere
w>xr	and other
w>xrY	And others
w>xrj	and brought out
w>xrjnA	and We bring forth
w>xrjnY	and cause me to exit
w>xrjt	And brings forth
w>xrjwA	and were driven out
w>xrjwhm	and drive them out
w>xrjwkm	and drive you out
w>xrt	and left behind
w>xwh	and his brother
w>xwk	and your brother
w>xwtkm	and your sisters
w>xyh	and his brother
w>yAmA	and (by) day
w>ydY	and the hands
w>ydh	and supported him
w>ydhm	and supported them
w>ydkm	and strengthened you
w>ydnh	and We supported him
w>ydyhm	and their hands
w>ydykm	and your hands
w>ymnhm	and their oaths
w>ywb	And Ayub
w>zlfnA	And We brought near
w>zlft	And will be brought near
w>zwj	and spouses
w>zwjh	and his wives
w>zwjhm	and their kinds
w>zwjkm	and your spouses
wASb	perpetual
wASbA	constantly
wAbl	heavy rain
wAd	valley
wAdyA	a valley
wAhyp	frail
wAjfp	will palpitate
wAl	protector
wAld	a father
wAldh	his father
wAq	defender
wAqE	(would) fall
wArdhA	(will be) passing over it
wArdhm	their water drawer
wAvqkm	He bound you
wAzrp	bearer of burdens
wDAq	and felt straitened
wDAqt	and (was) straitened
wDA}q	and straitened
wDE	set up
wDEf	and double
wDEhA	He laid it
wDEt	she delivered
wDEthA	she delivered her
wDHYhA	and its brightness
wDl	And lost
wDlwA	and they have strayed
wDrb	And presents
wDrbnA	and We put forth
wDrbt	and struck
wDyA'	and a light
wE$rA	and ten (days)
wE$yA	and evening
wE$yrtkm	and your relatives
wE*Ab	and suffering
wE*AbA	and a punishment
wE*b	and He punished
wE*bnhA	and We punished it
wEA$rwhn	And live with them
wEA'	bag
wEAd	and Aad
wEAdA	And Ad
wESY	and disobeyed
wESwA	and disobeyed
wESyhm	and their staffs
wESynA	and we disobeyed
wESytm	and you disobeyed
wEZhm	and admonish them
wEZmA	and bones
wEbAd	And slaves
wEbd	and (who) worshipped
wEbqrY	and carpets
wEd	Promise
wEdA	A promise
wEddh	and counts it
wEdh	His promise
wEdhA	he had promised it
wEdhm	and promise them
wEdk	Your promise
wEdkm	promised you
wEdlA	and justice
wEdnA	We appointed
wEdnh	We have promised him
wEdnhm	We have promised them
wEdshA	[and] its lentils
wEdthm	You have promised them
wEdtnA	You promised us
wEdw	and an enemy
wEdwA	and enmity
wEdwh	they had promised Him
wEdwkm	and your enemy
wEfA	and He forgave
wEhdhm	and their promise
wEhdnA	And We made a covenant
wEjbwA	And they wonder
wEjlt	and I hastened
wElAnyp	and openly
wElm	and He knows
wElmA	and knowledge
wElmh	and taught him
wElmk	and taught you
wElmnh	And We taught him
wElmt	And landmarks
wElmtm	And you were taught
wElmtnY	and taught me
wElwA	and haughtiness
wEmArp	and maintenance
wEml	and did
wEmlh	and his deeds
wEmlwA	and do
wEmrwhA	and built (on) it
wEmtkm	and your father-s sisters
wEmyAnA	and blind
wEnb	and grapes
wEnbA	And grapes
wEnd	and with
wEndh	And with Him
wEndhm	And with them
wEndnA	and with Us
wEnt	And (will be) humbled
wEqbY	and end
wErDnA	And We (will) present
wErDwA	And they will be presented
wErbY	and an Arab
wEsY	But perhaps
wEtw	and (become) insolent
wEtwA	and (were) insolent
wEyd	My Threat
wEyp	conscious
wEysY	and Isa
wEywn	and springs
wEznY	and he overpowered me
wEzrtmwhm	and you assist them
wEzrwh	and honor him
wH$r	And were gathered
wH$rnA	and We gathered
wH$rnhm	and We will gather them
wHAjh	And argued with him
wHAl	And came
wHAq	and enveloped
wHSl	And is made apparent
wHSwrA	and chaste
wHSyd	and (some) mown
wHY	a revelation
wHb	and grain
wHbT	And (has) gone in vain
wHbl	and a rope
wHd	one
wHdA	One
wHdA}q	And gardens
wHdh	Alone
wHdp	one
wHfZA	And (to) guard
wHfZnhA	And We have protected it
wHfdp	and grandsons
wHffnhmA	and We bordered them
wHjrA	and a partition
wHkmA	and an arbitrator
wHkmp	and wisdom
wHllA	and lawful
wHlwA	And they will be adorned
wHl}l	And wives
wHmlh	And bearing of him
wHmlhA	but bore it
wHmlnh	And We carried him
wHmlnhm	and We carried them
wHmlt	And are lifted
wHmr	and red
wHmym	and scalding water
wHnAnA	And affection
wHq	and (is) justified
wHqt	and was obligated
wHrD	And encourage
wHrm	And is forbidden
wHrmnA	And We had forbidden
wHrmwA	and forbid
wHrv	and crops
wHryrA	and silk
wHsbwA	And they thought
wHsn	and good
wHsnt	and good
wHwr	And fair ones
wHyA	(by) revelation
wHydA	alone
wHyh	its revelation
wHyl	And a barrier will be placed
wHyn	and when
wHyv	and wherever
wHznA	and a grief
wHznY	and my grief
wSAHbhmA	But accompany them
wSAbrwA	and [be] patient
wSHbth	And his wife
wSY	He enjoined
wSYkm	enjoined you
wSbg	and a relish
wSbrwA	and were patient
wSd	and he was averted
wSdf	and turns away
wSdhA	And has averted her
wSdq	and believed
wSdqt	And she believed
wSdwA	and hinder
wSdwkm	and hindered you
wSfhm	(for) their attribution
wShrA	and marriage relationship
wSl	and bless
wSlH	and righteous
wSlnA	We have conveyed
wSlwt	and blessings
wSmA	and deaf
wSmwA	and they became deaf
wSrfnA	and We have explained
wSwrkm	and He formed you
wSylp	a Wasilah
wSynA	We enjoined
wSyp	any will
wTA}fp	and a group
wTEAm	and food
wTEAmA	And food
wTEAmh	and its food
wTEAmkm	and your food
wTEnA	and defaming
wTEnwA	and defame
wT_A	and most potent
wTbE	and were sealed
wTfqA	and they began
wThr	and purify
wThrk	and purified you
wTlH	And banana trees
wTmEA	and hope
wTrA	necessary (formalities)
wTwr	And Mount
wZAlm	and unjust
wZhr	and became manifest
wZhrh	but its exterior
wZhrwA	and support
wZhwrhm	and their backs
wZl	And shade
wZlhA	and its shade
wZllhm	and (so do) theirshadows
wZllnA	And We shaded
wZlmA	and injustice
wZlmwA	and did wrong
wZn	and think
wZnntm	And you assumed
wZnwA	and thought
wb$r	And give good news
wb$rY	and glad tidings
wb$rnh	And We gave him glad tidings
wb$rwh	and they gave him glad tidings
wb$yr	and a bearer of good tidings
wb>ymnhm	and on their right
wbA'w	And they incurred
wbATnh	and the secret
wbATnp	and hidden
wbAl	consequence
wbEhd	And Covenant
wbEvnA	and We appointed
wbEwlthn	And their husbands
wbSdhm	and for their hindering
wbSlhA	and its onions
wbTl	and vain
wbd>	and He began
wbdA	and has appeared
wbdArA	and hastily
wbdArh	and his home
wbdlnhm	and We changed for them
wbkfrhm	And for their disbelief
wbklmY	and with My words
wbkm	and dumb
wbkmA	and dumb
wbkyA	and weeping
wblg	and reaches
wblgnA	and we have reached
wblgt	and reached
wblwnhm	And We tested them
wbnAt	and daughters
wbnAtk	and your daughters
wbnAtkm	and your daughters
wbnEmp	and in Favor
wbnEmt	and the Favor
wbnY	and my sons
wbnt	and daughters
wbnyh	and his children
wbnyn	and sons
wbnynA	And We constructed
wbqyp	and a remnant
wbrA	And dutiful
wbrHmth	and in His Mercy
wbrk	and He blessed
wbrknA	And We blessed
wbrkt	and blessings
wbrkth	and His blessings
wbrq	and lightning
wbrswlY	and in My Messenger
wbrswlh	and in His Messenger
wbrzt	And will be made manifest
wbrzwA	And they will come forth
wbsr	and scowled
wbst	And will be crumbled
wbv	and dispersed
wbw>km	and settled you
wbyE	and churches
wbylA	ruinous
wbyn	and between
wbynh	and between him
wbynhm	and between them
wbynhmA	And between them
wbynk	and between you
wbynkm	and between you
wbynt	and clear proofs
wbynwA	and openly declar[ed]
wb{l'Axrp	and in the Hereafter
wb{l>sHAr	And in the hours before dawn
wb{lHq	And with the truth
wb{lktb	and with the Book
wb{lm&mnyn	and with the believers
wb{lnjm	And by the stars
wb{lrswl	and in the Messenger
wb{lwldyn	and to the parents
wb{lyl	And at night
wb{lywm	and in the Day
wb{lzbr	and with Scriptures
wb}r	and well
wb}s	and evil
wd	Wished
wdA	Wadd
wdAEyA	And as one who invites
wdAnyp	And near
wdAwd	And Dawud
wdE	and disregard
wdEk	has forsaken you
wdm	and blood
wdmrnA	And We destroyed
wdrswA	while they studied
wdsr	and nails
wdt	Wished
wdwA	They wish
wdwd	Most Loving
wdwn	and without
wdxl	And entered
wdyn	and the religion
wdyp	and blood money
wdyrhm	and their houses
wfAqA	appropriate
wfAr	and overflowed
wfDl	preferred
wfDlA	and bounty
wfDlnhm	and We preferred them
wfElt	And you did
wfSl	and decisive
wfSlh	and his weaning
wfSylth	And his nearest kindred
wfY	fulfilled
wfdA	(as) a delegation
wfdynh	And We ransomed him
wfjrnA	And We caused to burst
wfkhp	And fruit
wfr$	And (on) couches
wfr$A	and (some for) meat
wfrDnhA	and We (have) made it obligatory
wfrEhA	and its branches
wfrEwn	and Firaun
wfrHwA	and they rejoice
wfrdY	and (as) individuals
wfryq	and a party
wfryqA	and a party
wfsAd	and corruption
wftH	and a victory
wftHt	And is opened
wftnk	and We tried you
wfwkh	And fruits
wfwmhA	[and] its garlic
wfwq	but over
wgDb	and anger
wgdwA	And they went early
wgfr	and forgives
wglqt	And she closed
wgrAbyb	and intensely black
wgrhm	And deceived them
wgrkm	And deceived you
wgrthm	and deluded them
wgrtkm	and deceived you
wgsAq	and purulence
wgsAqA	and purulence
wgwAS	and diver
wgyD	And subsided
wgyr	and not
whAjA	burning
whAjrwA	and emigrated
whb	and grant
whbnA	[and] We bestowed
whbt	she gives
whdY	and guidance
whdYh	and guided him
whdwA	And they were guided
whdynh	And shown him
whdynhm	and We guided them
whdynhmA	And We guided both of them
whm	and he would have desired
whmn	Haman
whmt	and plotted
whmwA	and planned
whn	weakness
whnA	(in) weakness
whnwA	they lost heart
whrwn	and Harun
why}	and facilitate
whzY	And shake
wjA'	So came
wjA'h	And came (to) him
wjA'hm	and came to them
wjA'k	And has come to you
wjA'km	And came to you
wjA't	And will come
wjA'th	and had reached him
wjA'thm	and came to them
wjA'w	and came (up)
wjAEl	and I will make
wjAElwh	and (will) make him
wjAY'	And is brought
wjEl	and made
wjElhA	And he made it
wjElkm	and made you
wjElnA	and We made
wjElnY	and made me
wjElnh	and made it
wjElnhA	and We made it
wjElnhm	others
wjElnkm	and made you
wjElt	And I granted
wjElwA	and make
wjHdwA	And they rejected
wjHymA	and burning fire
wjbryl	and Jibreel
wjbt	are down
wjd	he found
wjdhA	he found it
wjdkm	your means
wjdlhm	and discuss with them
wjdlwA	and they disputed
wjdnA	we found
wjdnh	[We] found him
wjdt	found
wjdthA	And I found her
wjdtm	you found
wjdtmwhm	you find them
wjdwA	they found
wjfAn	and bowls
wjh	face
wjhAd	and striving
wjhY	myself
wjhd	and strives
wjhdhm	and strive (against) them
wjhdwA	and strove
wjhh	his face
wjhhA	her face
wjhk	your face
wjhp	(is) a direction
wjhrA	and publicly
wjhrkm	and what you make public
wjht	[I] have turned
wjlp	(are) fearful
wjlt	fear
wjlwdhm	and their skins
wjlwn	afraid
wjmE	And collected
wjnY	and fruit
wjnp	and a Garden
wjnt	and Gardens
wjnwbhm	and their flanks
wjnwd	And hosts
wjnwdA	and hosts
wjnwdh	and his hosts
wjnwdhmA	and their hosts
wjryn	and they sail
wjwh	Faces
wjwhA	faces
wjwhhm	their faces
wjwhkm	your faces
wjwznA	And We led across
wjyhA	honored
wjz&A	recompense
wjzYhm	And will reward them
wj}nA	and We bring
wj}tk	and I have come to you
wj}tkm	And I (have) come to you
wk$fnA	and We removed
wk$ft	and she uncovered
wk*b	But denied
wk*btm	while you deny
wk*bwA	and deny
wk>s	and a cup
wk>sA	And a cup
wkAdwA	and were about to
wkAn	and is
wkAnt	and is
wkAnwA	and are
wkbrA'nA	and our great men
wkbrh	And magnify Him
wkbyr	and big
wkf	and has withheld
wkfY	and sufficient
wkflhA	and put her in care
wkfr	and remove
wkfrA	and disbelief
wkfrhm	and their disbelief
wkfrnA	and we disbelieve
wkfrt	and disbelieved
wkfrtm	and you disbelieve
wkfrwA	and disbelieve
wkhlA	and (in) maturity
wkl	And all
wklA	and all
wklbhm	while their dog
wklhm	And all of them
wklm	And spoke
wklmA	and every time
wklmh	and spoke to him
wklmhm	and spoken to them
wklmp	while Word
wklmth	and His word
wklnA	We have entrusted
wklwA	And eat
wkn	and be
wknA	and we are
wknt	And I was
wkntm	And you were
wknwz	And treasures
wkrh	and has made hateful
wkrhA	or unwillingly
wkrhwA	and hated
wkswthn	and their clothing
wktAb	and a Book
wktb	and a Book
wktbh	and His Books
wktbnA	And We ordained
wkvyr	but many
wkwAEb	And splendid companions
wkwnwA	and be
wkyf	And how
wkyl	a Guardian
wkylA	a guardian
wl&l&A	and pearl
wl'Amrnhm	and surely I will order them
wl*kr	and surely remembrance
wl<xwnnA	and our brothers
wl>Dlnhm	And I will surely mislead them
wl>Hl	and so that I make lawful
wl>Slbnkm	and surely I will crucify you
wl>bwyh	And for his parents
wl>byn	and that I make clear
wl>dxlnhm	and surely I will admit them
wl>dxlnkm	and I will surely admit you
wl>gwynhm	and I will mislead them
wl>jr	but surely the reward
wl>mnynhm	and surely arouse desires in them
wl>mp	And a bondwoman
wl>nEmkm	and for your cattle
wl>tm	And that I complete
wl>wDEwA	and would have been active
wl>xY	and my brother
wlAt	when there (was) no longer
wlE*Ab	and surely the punishment
wlEb	and play
wlEbA	and fun
wlEbd	and a bondman
wlElA	and surely would have overpowered
wlEnh	and He (will) curse him
wlEnhm	and He has cursed them
wlEnwA	and they have been cursed
wlHm	and meat
wlY	protector
wlYhm	(has) turned them
wlbAs	But the clothing
wlbAshm	and their garments
wlbvt	and you remained
wlbvwA	And they remained
wlbywthm	And for their houses
wlb}s	And surely evil
wld	son
wldA	a son
wldAr	and the home
wldY	my parents
wldh	his son
wldn	boys
wldnhm	gave them birth
wldp	mother
wldt	I was born
wldtk	your mother
wlhdynhm	And We would have guided them
wlhw	and amusement
wlhwA	and amusement
wlkl	And for all
wll'Axrp	And surely the Hereafter
wll>rD	and to the earth
wllbsnA	and certainly We (would) have obscured
wlldAr	but the home
wllh	And to Allah
wllkfryn	And for the disbelievers
wllm&mnyn	and the believers
wllmTlqt	And for the divorced women
wllnsA'	and for women
wllrjAl	and for the men
wllrswl	and His Messenger
wllsyArp	and for the travelers
wlml}t	and surely you would have been filled
wln*yqnhm	And surely, We will let them taste
wlnElmh	that We might teach him
wlnEm	And surely excellent
wlnHml	and we will carry
wlnSbrn	And surely we will bear with patience
wlnblwnkm	And surely We will test you
wlnbynh	and that We (may) make it clear
wlnjElh	and so that We will make him
wlnjElk	and We will make you
wlnjzyn	And surely We will pay
wlnjzynhm	and We will pay them
wlnkwnn	and surely we will be
wlnrsln	and surely, we will send
wlns_ln	and surely We will question
wlnsknnkm	And surely We will make you dwell
wlnxrjnhm	and surely, we will drive them out
wlqA'	and meeting
wlqA}	and meeting
wlqA}h	and the meeting (with) Him
wlqYhm	and will cause them to meet
wlqwmk	and your people
wlrbk	And for your Lord
wlrswlh	and for His Messenger
wlsAnA	And a tongue
wlslymn	And to Sulaiman
wlstm	while you (would) not
wlt>t	and let come (forward)
wltElm	and that she would know
wltElmn	and surely you will know
wltElmwA	and that you may know
wltEln	and surely you will reach
wltErfnhm	but surely, you will know them
wltSgY	And so that incline
wltSnE	and that you may be brought up
wltTm}n	and to reassure
wltblgwA	and lets you reach
wltbtgwA	and that you may seek
wltjdn	and surely you will find
wltjdnhm	And surely you will find them
wltjrY	and that may sail
wltjzY	and that may be recompensed
wltkbrwA	and that you magnify
wltkmlwA	so that you complete
wltkn	And let there be
wltkwn	that it may be
wltkwnn	and you will surely be
wltn*r	so that you may warn
wltnSrnh	and you must help him
wltnZr	and let look
wltnzEtm	and surely you would have disputed
wlts_ln	And surely you will be questioned
wltsmEn	And you will certainly hear
wltstbyn	so that becomes manifest
wlttqwA	and that you may fear
wlwA	they turn
wlwTA	and Lut
wlwldY	and my parents
wlwldyk	and to your parents
wlwmwA	but blame
wly$hd	And let witness
wly&mnwA	and let them believe
wly*kr	and that may take heed
wly*yqkm	and to let you taste
wly>tynhm	But it will surely come to them
wly>x*wA	and let them take
wlyA	an heir
wlyAl	And the nights
wlyDrbn	And let them draw
wlyEfwA	And let them pardon
wlyElm	and that may know
wlyElmn	and He will surely make evident
wlyElmwA	and that they may know
wlyHkm	And let judge
wlyHlfn	And surely they will swear
wlyHmln	But surely they will carry
wlySfHwA	and let them overlook
wlyTwfwA	and circumambulate
wlybdlnhm	and surely He will change for them
wlybkwA	and let them weep
wlyblY	and that He may test
wlybtlY	And that might test
wlybynn	And He will make clear
wlydA	(as) a child
wlydE	and let him call
wlydxlwA	and to enter
wlyh	his guardian
wlyhm	(is) their ally
wlyhmA	(was) their protector
wlyjdwA	and let them find
wlyjp	(as) intimates
wlykm	your ally
wlyktb	And let write
wlykwn	so that he would be
wlykwnA	and certainly will be
wlylbswA	and that they make confusing
wlymHS	and that He may purge
wlymknn	and that He will surely establish
wlymll	and let dictate
wlymsnkm	and surely will touch you
wlyn*rwA	and that they may warn
wlynA	(are) our Protector
wlynSrn	And surely Allah will help
wlyqtrfwA	and so that they may commit
wlyqwl	and that may say
wlyqwlwA	and let them speak
wlyrDwh	and so that they may be pleased with it
wlyrbT	And to strengthen
wlys	and not
wlys_ln	and surely they will be questioned
wlys_lwA	and let them ask
wlyst	And not
wlystEff	And let be chaste
wlyt*kr	and may be reminded
wlytbrwA	and to destroy
wlythm	their protection
wlytlTf	and let him be cautious
wlytm	and to complete
wlytmtEwA	and they may enjoy (themselves)
wlytq	and let him fear
wlywfwA	and fulfil
wlywfyhm	and that He may fully compensate them
wlyx$	And let fear
wlyxzY	and that He may disgrace
wlyzydn	And surely increase
wlzwjk	and to your wife
wm$Arb	and drinks
wm$hwd	and what is witnessed
wm>jwj	and Majuj
wm>wYh	and his abode
wm>wYhm	And their abode
wm>wYkm	and your abode
wmA'	And water
wmAtwA	and died
wmDY	and has passed
wmEArj	and stairways
wmESyt	and disobedience
wmEyn	and water springs
wmHrm	and forbidden
wmHyAY	and my living
wmSdqA	And confirming
wmSyrA	and destination
wmThrk	and purify you
wmb$rA	and bringing glad tidings
wmgAnm	And spoils of war
wmgfrp	and forgiveness
wmgrbhA	and the western (parts) of it
wmhdt	And I spread
wmhlhm	and allow them respite
wmhymnA	and a guardian
wmkr	and planned
wmkrnA	and We planned
wmkrwA	So they plotted
wml<yh	and his chiefs
wml<yhm	and their chiefs
wml>h	and his chiefs
wmlk	and a kingdom
wmlkA	and a kingdom
wml}kth	and His Angels
wmmAtY	and my dying
wmmAthm	and their death
wmn*ryn	and warners
wmnfE	and benefits
wmnhAjA	and a clear way
wmnwp	And Manat
wmqAm	and places
wmqAmA	and resting place
wmqSryn	and shortened
wmqtA	and hateful
wmrEYhA	and its pasture
wmrsYhA	and its anchorage
wmrwt	and Marut
wmrym	And Maryam
wmsjd	and masajid
wmskn	and dwellings
wmsknkm	and to your homes
wmstwdE	and a resting place
wmstwdEhA	and its place of storage
wmtE	and livelihood
wmtEA	and provision
wmtEnhm	and We granted them enjoyment
wmtEwhn	And make provision for them
wmvl	And example
wmvlA	and an example
wmvlh	and like of it
wmvlhm	and a like of them
wmvwYkm	and your resting places
wmwEZp	and admonition
wmwlykm	and your friends
wmwsY	and Musa
wmxrj	and brings forth
wmykYl	and Meekael
wmyvqh	and His covenant
wmzAjh	And its mixture
wmzqnhm	and We dispersed them
wn*krk	And [we] remember You
wn*r	and we forsake
wn*rhm	And We will leave them
wn*yqh	and We will make him taste
wn*yr	and a warner
wn*yrA	and a warner
wnAdY	And Nuh called
wnAdYhmA	And called them both
wnAdwA	And they will call
wnDE	And We set
wnElm	and we know
wnEm	and Excellent
wnEmh	and favors him
wnEmp	and favor
wnEym	and pleasure
wnH$r	and We will gather
wnH$rh	and We will gather him
wnH$rhm	And We will gather them
wnHAs	and smoke
wnHfZ	and we will protect
wnHyA	and we live
wnSHt	and advised
wnSfh	and half of it
wnSlh	and We will burn him
wnSrnh	And We helped him
wnSrnhm	And We helped them
wnSrwA	and helped
wnSrwh	and help him
wnSyrA	and a Helper
wnTbE	and We put a seal
wnTmE	And we hope
wn_A	and becomes remote
wnbAtA	and vegetation
wnblwA	and We will test
wnblwkm	And We test you
wnbyA	and a Prophet
wnb}hm	And inform them
wndA'	and cries
wndxlhm	and We will admit them
wndxlkm	and We will admit you
wndynh	And We called him
wnfAqA	and hypocrisy
wnfDl	but We cause to exceed
wnfSl	And We explain in detail
wnfs	And soul
